Date : 2026-05-05 10:06:22
Directory : /home/developer/projects/open-navigator
Total : 90 files,  5647 codes, 911 comments, 1404 blanks, all 7962 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /home/developer/projects/open-navigator/scripts/datasources/gemini/extract_to_bronze.py                           | Python   |       -530 |        -54 |        -70 |       -654 |
| /home/developer/projects/open-navigator/scripts/datasources/gemini/load_meeting_transcripts.py                    | Python   |        501 |        188 |         49 |        738 |
| /home/developer/projects/open-navigator/scripts/datasources/gemini/load_meeting_transcripts_bronze.py             | Python   |        670 |         54 |         70 |        794 |
| /home/developer/projects/open-navigator/scripts/datasources/gemini/merge_bronze_to_production.py                  | Python   |        356 |         65 |         68 |        489 |
| /home/developer/projects/open-navigator/scripts/datasources/gemini/migrations/README.md                           | Markdown |         65 |          0 |         28 |         93 |
| /home/developer/projects/open-navigator/scripts/datasources/gemini/migrations/backfill_ntee_from_arguments.py     | Python   |        139 |         16 |         23 |        178 |
| /home/developer/projects/open-navigator/scripts/datasources/gemini/migrations/backfill_ntee_to_topics.py          | Python   |        108 |         15 |         20 |        143 |
| /home/developer/projects/open-navigator/scripts/datasources/gemini/migrations/cleanup_null_records.py             | Python   |         88 |         20 |         35 |        143 |
| /home/developer/projects/open-navigator/scripts/datasources/gemini/migrations/infer_ntee_from_topics.py           | Python   |        144 |         16 |         30 |        190 |
| /home/developer/projects/open-navigator/scripts/datasources/gemini/migrations/migrate_add_ntee_to_topics.py       | Python   |        109 |         17 |         22 |        148 |
| /home/developer/projects/open-navigator/scripts/datasources/gemini/migrations/migrate_add_secondary_ntee.py       | Python   |        102 |          8 |         20 |        130 |
| /home/developer/projects/open-navigator/scripts/datasources/gemini/migrations/migrate_multimodel_support.py       | Python   |        154 |        158 |         31 |        343 |
| /home/developer/projects/open-navigator/scripts/datasources/gemini/migrations/repopulate_ntee_codes.py            | Python   |        293 |         40 |         53 |        386 |
| /home/developer/projects/open-navigator/scripts/datasources/gemini/moa_synthesize.py                              | Python   |        273 |        155 |         41 |        469 |
| /home/developer/projects/open-navigator/scripts/datasources/hifld/download_arcgis_dataset.py                      | Python   |       -193 |        -88 |        -52 |       -333 |
| /home/developer/projects/open-navigator/scripts/datasources/hifld/load_arcgis_hifld.py                            | Python   |        193 |         88 |         52 |        333 |
| /home/developer/projects/open-navigator/scripts/datasources/irs/irs_bmf_ingestion.py                              | Python   |       -163 |       -119 |        -60 |       -342 |
| /home/developer/projects/open-navigator/scripts/datasources/irs/load_irs_bmf.py                                   | Python   |        163 |        119 |         60 |        342 |
| /home/developer/projects/open-navigator/scripts/datasources/localview/download_localview.py                       | Python   |        -74 |        -16 |        -22 |       -112 |
| /home/developer/projects/open-navigator/scripts/datasources/localview/load_localview.py                           | Python   |         74 |         16 |         22 |        112 |
| /home/developer/projects/open-navigator/scripts/datasources/localview/load_localview_data.py                      | Python   |        301 |        100 |         76 |        477 |
| /home/developer/projects/open-navigator/scripts/datasources/localview/localview_ingestion.py                      | Python   |       -301 |       -100 |        -76 |       -477 |
| /home/developer/projects/open-navigator/scripts/datasources/meetingbank/load_meetingbank.py                       | Python   |        256 |        128 |         81 |        465 |
| /home/developer/projects/open-navigator/scripts/datasources/meetingbank/meetingbank_ingestion.py                  | Python   |       -256 |       -128 |        -81 |       -465 |
| /home/developer/projects/open-navigator/scripts/datasources/nccs/bulk_download_nccs.py                            | Python   |       -515 |       -149 |       -105 |       -769 |
| /home/developer/projects/open-navigator/scripts/datasources/nccs/load_nccs_bulk.py                                | Python   |        515 |        149 |        105 |        769 |
| /home/developer/projects/open-navigator/scripts/datasources/nces/load_nces.py                                     | Python   |        292 |        144 |         61 |        497 |
| /home/developer/projects/open-navigator/scripts/datasources/nces/nces_ingestion.py                                | Python   |       -292 |       -144 |        -61 |       -497 |
| /home/developer/projects/open-navigator/scripts/datasources/ntee/README.md                                        | Markdown |        163 |          0 |         49 |        212 |
| /home/developer/projects/open-navigator/scripts/datasources/ntee/__init__.py                                      | Python   |          0 |         10 |          1 |         11 |
| /home/developer/projects/open-navigator/scripts/datasources/ntee/load_to_postgres.py                              | Python   |        183 |         49 |         57 |        289 |
| /home/developer/projects/open-navigator/scripts/datasources/openstates/bulk_legislative_download.py               | Python   |       -293 |       -153 |        -82 |       -528 |
| /home/developer/projects/open-navigator/scripts/datasources/openstates/download_documents.py                      | Python   |       -470 |       -198 |       -108 |       -776 |
| /home/developer/projects/open-navigator/scripts/datasources/openstates/load_openstates_bulk.py                    | Python   |        293 |        153 |         82 |        528 |
| /home/developer/projects/open-navigator/scripts/datasources/openstates/load_openstates_documents.py               | Python   |        470 |        198 |        108 |        776 |
