Date : 2026-05-14 20:08:39
Directory : /home/developer/projects/open-navigator
Total : 111 files,  8890 codes, 1523 comments, 979 blanks, all 11392 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /home/developer/projects/open-navigator/scripts/datasources/vendorsearch/readme.md                                                              | Markdown       |         49 |          0 |         33 |         82 |
| /home/developer/projects/open-navigator/scripts/datasources/vendorsearch/vendor_meeting_portal_search.py                                        | Python         |        259 |         25 |         38 |        322 |
| /home/developer/projects/open-navigator/scripts/datasources/youtube/audit_ga_jurisdiction_youtube_gaps.sql                                      | MS SQL         |        103 |         19 |          9 |        131 |
| /home/developer/projects/open-navigator/scripts/datasources/youtube/audit_ga_jurisdiction_youtube_gaps_minimal.sql                              | MS SQL         |         29 |          4 |          4 |         37 |
| /home/developer/projects/open-navigator/scripts/datasources/youtube/audit_ga_youtube_download_filters.sql                                       | MS SQL         |        255 |         23 |          9 |        287 |
| /home/developer/projects/open-navigator/scripts/datasources/youtube/audit_localview_youtube_bronze_overlap.sql                                  | MS SQL         |         80 |         17 |         13 |        110 |
| /home/developer/projects/open-navigator/scripts/datasources/youtube/audit_youtube_jurisdiction_coverage.sql                                     | MS SQL         |        327 |         18 |         25 |        370 |
| /home/developer/projects/open-navigator/scripts/datasources/youtube/backfill_bronze_youtube_publish_dates.py                                    | Python         |        515 |         57 |         47 |        619 |
| /home/developer/projects/open-navigator/scripts/datasources/youtube/channel_about_links.py                                                      | Python         |        573 |        196 |         81 |        850 |
| /home/developer/projects/open-navigator/scripts/datasources/youtube/download_audio_to_drive.py                                                  | Python         |        498 |        186 |         15 |        699 |
| /home/developer/projects/open-navigator/scripts/datasources/youtube/download_youtube_audio_al.sh                                                | Shell Script   |          6 |          5 |          1 |         12 |
| /home/developer/projects/open-navigator/scripts/datasources/youtube/download_youtube_audio_ga.sh                                                | Shell Script   |          6 |          8 |          1 |         15 |
| /home/developer/projects/open-navigator/scripts/datasources/youtube/download_youtube_audio_in.sh                                                | Shell Script   |          6 |          5 |          1 |         12 |
| /home/developer/projects/open-navigator/scripts/datasources/youtube/download_youtube_audio_mt.sh                                                | Shell Script   |          6 |          4 |          1 |         11 |
| /home/developer/projects/open-navigator/scripts/datasources/youtube/link_youtube_bronze_from_localview_apply.sql                                | MS SQL         |         86 |          6 |          8 |        100 |
