Date : 2026-04-27 20:45:24
Directory : /home/developer/projects/oral-health-policy-pulse
Total : 74 files,  12560 codes, 2267 comments, 3207 blanks, all 18034 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /home/developer/projects/oral-health-policy-pulse/scripts/enrich_nonprofits_propublica.py        | Python         |        237 |         93 |         58 |        388 |
| /home/developer/projects/oral-health-policy-pulse/scripts/extract_contacts_dev_mode.py           | Python         |        157 |         44 |         64 |        265 |
| /home/developer/projects/oral-health-policy-pulse/scripts/finalize_huggingface_structure.py      | Python         |        171 |         17 |         20 |        208 |
| /home/developer/projects/oral-health-policy-pulse/scripts/manage_contacts.py                     | Python         |        292 |         88 |         83 |        463 |
| /home/developer/projects/oral-health-policy-pulse/scripts/manage_nonprofits.py                   | Python         |        189 |         46 |         69 |        304 |
| /home/developer/projects/oral-health-policy-pulse/scripts/organize_meetings_by_state.py          | Python         |        211 |         48 |         74 |        333 |
| /home/developer/projects/oral-health-policy-pulse/scripts/reorganize_for_huggingface.py          | Python         |         97 |         27 |         32 |        156 |
| /home/developer/projects/oral-health-policy-pulse/scripts/split_gold_by_state.py                 | Python         |        159 |         67 |         42 |        268 |
| /home/developer/projects/oral-health-policy-pulse/scripts/split_meetings_by_state.py             | Python         |         77 |         19 |         37 |        133 |
| /home/developer/projects/oral-health-policy-pulse/scripts/upload_meetings_to_hf.py               | Python         |        196 |         71 |         42 |        309 |
| /home/developer/projects/oral-health-policy-pulse/scripts/upload_nonprofits_to_hf.py             | Python         |        185 |        126 |         61 |        372 |
| /home/developer/projects/oral-health-policy-pulse/scripts/upload_state_splits_to_hf.py           | Python         |        183 |         73 |         44 |        300 |
| /home/developer/projects/oral-health-policy-pulse/test-huggingface-build.sh                      | Shell Script   |          9 |          2 |          2 |         13 |
| /home/developer/projects/oral-health-policy-pulse/website/docs/data-sources/charity-navigator.md | Markdown       |        297 |          0 |        102 |        399 |
| /home/developer/projects/oral-health-policy-pulse/website/docs/data-sources/citations.md         | Markdown       |        296 |          0 |         46 |        342 |
| /home/developer/projects/oral-health-policy-pulse/website/docs/data-sources/data-model-erd.md    | Markdown       |         25 |          0 |          0 |         25 |
| /home/developer/projects/oral-health-policy-pulse/website/docs/data-sources/form-990-xml.md      | Markdown       |        606 |          0 |        180 |        786 |
